,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
3265,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",,,Joe Biden,Female,White,Joe Biden,,72,0.0888349205363839
3266,Protestant,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,Donald Trump,Conservative,31,2.11620797059641
3267,Catholic,Traditional,Widowed,High school credential,Heterosexual or straight,"$25,000-29,999",Joe Biden,Female,White,,,80,0.740368076137927
3268,Jewish,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Joe Biden,Slightly liberal,25,1.299740400119
3269,Protestant,Progressive,Married,Graduate degree,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,White,Bernie Sanders,Liberal,55,0.287429030207823
3270,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",,Female,White,Bernie Sanders,Liberal,59,0.0
3271,Catholic,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Joe Biden,Male,Hispanic,,Moderate; middle of the road,80,1.08504880512715
3272,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Donald Trump,Female,White,,Conservative,51,1.35364479592327
3273,Something else,Progressive,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Joe Biden,Liberal,63,0.0675865094766641
3274,Something else,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",,Female,White,,,64,1.34181120188559
3275,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$40,000-44,999",Joe Biden,Male,Black,,,63,4.74248426441799
3276,Protestant,None of the above,Widowed,Less than high school credential,Heterosexual or straight,"$20,000-24,999",,Female,White,,Liberal,75,0.319072318721666
3277,Something else,None of the above,Never married,"Some post-high school, no bachelor’s degree",Bisexual,"Under $9,999",,Female,Hispanic,,Moderate; middle of the road,32,0.39628386783023
3278,Catholic,Traditional,Widowed,Less than high school credential,Heterosexual or straight,"$15,000-19,999",,Male,White,,Moderate; middle of the road,80,0.901246029014854
3279,Protestant,Progressive,Married,Graduate degree,Heterosexual or straight,"$60,000-64,999",Joe Biden,Female,White,Joe Biden,Liberal,68,0.301160593442518
3280,Protestant,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Donald Trump,Male,White,,Conservative,22,2.76449002716804
3281,Nothing in particular,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Male,White,,,25,2.11089934501985
3282,Something else,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,,Joe Biden,Female,Black,Joe Biden,Liberal,47,0.649977243650921
3283,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"Under $9,999",Donald Trump,Female,Multiracial,,Slightly conservative,30,0.255036434733205
3284,Something else,None of the above,Married,High school credential,Heterosexual or straight,"$25,000-29,999",,Male,Hispanic,,Moderate; middle of the road,61,2.999163680266
3285,Atheist,None of the above,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",,Female,White,Joe Biden,Slightly liberal,-9,0.0
3286,Something else,Spiritual but not religious,Married,Graduate degree,Bisexual,"$90,000-99,999",Joe Biden,Female,White,Joe Biden,Extremely liberal,55,0.521722504897313
3287,Nothing in particular,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,3rd party,Slightly liberal,32,0.711084501063944
3288,Protestant,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,,Extremely conservative,71,0.781264208125317
3289,Nothing in particular,None of the above,Married,Bachelor’s degree,Heterosexual or straight,,,Male,Asian/NHPI,,Slightly conservative,53,0.132846048760523
3290,,Traditional,Widowed,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",Donald Trump,Male,White,,Moderate; middle of the road,70,0.35906374376484
3291,Something else,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Liberal,42,0.988664261390717
3292,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$75,000-79,999",Donald Trump,Male,White,Donald Trump,Extremely conservative,71,0.846743049140157
3293,Atheist,Secular,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$250,000 or more",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,21,0.874543247567854
3294,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,White,,Extremely conservative,71,0.624639126594132
3295,Something else,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"Under $9,999",,Male,White,,Moderate; middle of the road,41,0.326358563921246
3296,Nothing in particular,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$15,000-19,999",Joe Biden,Female,White,Bernie Sanders,Liberal,42,0.114418295370081
3297,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,White,Pete Buttigieg,Moderate; middle of the road,66,0.0899330076703565
3298,Nothing in particular,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"Under $9,999",Joe Biden,Male,White,,Extremely liberal,44,0.985853955203711
3299,Atheist,None of the above,Never married,Bachelor’s degree,,,,,White,,Liberal,-9,0.0
3300,Nothing in particular,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$25,000-29,999",,Female,White,,Moderate; middle of the road,38,0.916877048599199
3301,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,,Moderate; middle of the road,35,0.47225971272155
3302,Atheist,None of the above,Never married,Bachelor’s degree,Bisexual,"$80,000-89,999",Joe Biden,Male,White,Bernie Sanders,Extremely liberal,28,0.932459763621686
3303,Protestant,Spiritual but not religious,Married,High school credential,Heterosexual or straight,"$10,000-14,999",Donald Trump,Male,White,,Liberal,-9,0.439391444238279
3304,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,White,Bernie Sanders,Conservative,65,0.618482554407142
3305,Orthodox,Spiritual but not religious,Never married,Bachelor’s degree,Heterosexual or straight,"$80,000-89,999",,Male,Asian/NHPI,,Liberal,30,1.90151105947751
3306,Catholic,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Donald Trump,Female,White,Another Republican,Slightly conservative,76,0.209375649187481
3307,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$25,000-29,999",,Male,Hispanic,,Slightly liberal,21,0.0
3308,Something else,Spiritual but not religious,Married,Bachelor’s degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,79,1.63370700232012
3309,Agnostic,Spiritual but not religious,Separated,Bachelor’s degree,Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,Hispanic,Bernie Sanders,Extremely liberal,41,0.762175753267513
3310,Catholic,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"Under $9,999",,Male,Black,,,30,0.198153201776855
3311,Nothing in particular,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$100,000-109,999",,Male,White,,Slightly liberal,56,0.0
3312,Something else,Traditional,Married,High school credential,Heterosexual or straight,"$70,000-74,999",,Male,White,,Extremely conservative,49,0.0
3313,Catholic,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$100,000-109,999",Donald Trump,Female,White,,Slightly conservative,43,2.045854035043
3314,Nothing in particular,None of the above,Divorced,High school credential,Heterosexual or straight,"$90,000-99,999",Joe Biden,Male,Asian/NHPI,,Moderate; middle of the road,49,4.42073310389671
3315,Nothing in particular,None of the above,Never married,High school credential,Heterosexual or straight,"Under $9,999",,Male,White,,,20,3.90411505412572
3316,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,63,0.0723478115974202
3317,Protestant,Traditional,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Male,Black,,Moderate; middle of the road,57,0.0
3318,Protestant,Spiritual but not religious,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Female,White,Joe Biden,Slightly liberal,48,0.506478332246654
3319,Protestant,Charismatic/Pentecostal,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Joe Biden,Male,Black,,Moderate; middle of the road,58,0.453936326531626
3320,Atheist,Secular,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$70,000-74,999",Joe Biden,Male,White,,Liberal,68,0.760062676016759
3321,Something else,Progressive,Never married,,Bisexual,"$15,000-19,999",,Female,AIAN,,Moderate; middle of the road,27,0.36005860741553
3322,Something else,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",,Female,White,,Conservative,41,1.15988460758941
3323,Protestant,Mainline,Never married,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Elizabeth Warren,Liberal,62,0.13890718014909
3324,Protestant,Traditional,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$50,000-59,999",Donald Trump,Female,White,Donald Trump,Conservative,-9,0.955651590569439
3325,Nothing in particular,None of the above,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",,Female,Multiracial,Another Democrat,Liberal,58,2.46464744337584
3326,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$30,000-34,999",Joe Biden,Male,White,,Slightly conservative,80,0.56713106953775
3327,Atheist,Secular,Never married,Graduate degree,Heterosexual or straight,"$175,000-249,999",Joe Biden,Male,White,Bernie Sanders,Extremely liberal,35,0.405112593151536
3328,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",Donald Trump,Female,White,,Slightly conservative,66,0.584175350743634
3329,Catholic,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$40,000-44,999",Joe Biden,Female,White,,Conservative,66,0.411689183976783
3330,Jewish,Secular,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",Joe Biden,Male,White,Bernie Sanders,Extremely liberal,71,0.554567795478302
3331,Protestant,None of the above,Widowed,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$45,000-49,999",Joe Biden,Female,White,Joe Biden,Slightly liberal,80,0.702220716609912
3332,Something else,Non-traditional believer,Never married,High school credential,Heterosexual or straight,"$25,000-29,999",Donald Trump,Female,White,Donald Trump,Conservative,34,1.40333838078887
3333,Protestant,Traditional,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$60,000-64,999",Joe Biden,Male,White,,Moderate; middle of the road,63,0.3284087185379
3334,Catholic,Traditional,Never married,Bachelor’s degree,Heterosexual or straight,,Joe Biden,Male,White,,Liberal,23,0.885107740688337
3335,Catholic,None of the above,Divorced,High school credential,Heterosexual or straight,"$30,000-34,999",,Male,White,Donald Trump,Moderate; middle of the road,63,1.23181760123379
3336,Nothing in particular,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$50,000-59,999",Joe Biden,Female,White,Joe Biden,Extremely liberal,59,0.286579878891277
3337,Nothing in particular,Spiritual but not religious,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Donald Trump,Female,White,Donald Trump,Moderate; middle of the road,43,3.0687810525645
3338,Nothing in particular,None of the above,Divorced,Graduate degree,Heterosexual or straight,"$250,000 or more",Donald Trump,Male,White,,Conservative,69,0.928089226220946
3339,Nothing in particular,None of the above,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,,Conservative,37,0.22443198399848
3340,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$250,000 or more",,Male,White,,Conservative,51,0.0
3341,Nothing in particular,Spiritual but not religious,Divorced,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$125,000-149,999",Donald Trump,Male,White,Donald Trump,Conservative,69,1.05082071283309
3342,Atheist,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$30,000-34,999",Joe Biden,Female,White,Bernie Sanders,Extremely liberal,24,0.527375079054371
3343,Something else,Traditional,Divorced,High school credential,Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,Black,Joe Biden,Slightly conservative,62,5.25347478426339
3344,Nothing in particular,Spiritual but not religious,Divorced,Bachelor’s degree,Heterosexual or straight,"$110,000-124,999",Joe Biden,Female,White,,Slightly liberal,61,1.61890707496887
3345,Protestant,Non-traditional believer,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$110,000-124,999",Donald Trump,Female,White,Donald Trump,Conservative,69,1.243773295291
3346,Nothing in particular,Non-traditional believer,Married,High school credential,Heterosexual or straight,"$65,000-69,999",,Female,White,,Conservative,46,2.34597103160323
3347,Protestant,Traditional,Married,Bachelor’s degree,Heterosexual or straight,"$50,000-59,999",Donald Trump,Male,White,,Conservative,72,0.542990578190526
3348,Something else,Spiritual but not religious,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$10,000-14,999",,Female,Hispanic,,Slightly conservative,30,0.420407769087312
