,PRE: WHAT IS PRESENT RELIGION OF R,PRE: RELIGIOUS IDENTIFICATION,PRE: MARITAL STATUS,PRE: SUMMARY: RESPONDENT 5 CATEGORY LEVEL OF EDUCATION,PRE: SEXUAL ORIENTATION OF R [REVISED],PRE: SUMMARY: TOTAL (FAMILY) INCOME,PRE-POST: SUMMARY: 2020 PRESIDENTIAL VOTE,PRE: WHAT IS YOUR (R) SEX? [REVISED],PRE: SUMMARY: R SELF-IDENTIFIED RACE/ETHNICITY,PRE: FOR WHICH CANDIDATE DID R VOTE IN PRESIDENTIAL PRIMARY,PRE: 7PT SCALE LIBERAL-CONSERVATIVE SELFPLACEMENT,Age,weights
5720,Catholic,Progressive,Married,High school credential,Heterosexual or straight,"$80,000-89,999",Donald Trump,Female,White,,Moderate; middle of the road,54,1.60267780233463
5721,Nothing in particular,,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,,,Male,,,Moderate; middle of the road,-9,0.0
5722,Something else,,Widowed,High school credential,Heterosexual or straight,"$35,000-39,999",Donald Trump,Female,White,,,75,1.45173816824679
5723,Orthodox,Spiritual but not religious,Divorced,High school credential,Heterosexual or straight,"Under $9,999",,Male,AIAN,,Slightly liberal,41,1.14529478982159
5724,Protestant,Charismatic/Pentecostal,Divorced,Graduate degree,Heterosexual or straight,"$100,000-109,999",Joe Biden,Male,White,Joe Biden,Moderate; middle of the road,45,0.523998967294252
5725,Protestant,Traditional,Married,Graduate degree,Heterosexual or straight,"$80,000-89,999",Donald Trump,Male,White,Donald Trump,Conservative,80,0.307569813955856
5726,Atheist,None of the above,Never married,Bachelor’s degree,Heterosexual or straight,"$65,000-69,999",Joe Biden,Male,Hispanic,Bernie Sanders,Slightly liberal,27,1.5415920395876
5727,Protestant,Progressive,Married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"$150,000-174,999",Joe Biden,Female,White,Elizabeth Warren,Slightly liberal,65,1.05400071479962
5728,Something else,Traditional,Divorced,Less than high school credential,Heterosexual or straight,"Under $9,999",Donald Trump,Male,White,Donald Trump,Moderate; middle of the road,68,0.367316325976553
5729,Catholic,None of the above,Married,Bachelor’s degree,Heterosexual or straight,"$70,000-74,999",Donald Trump,Male,White,,Conservative,70,0.581636676317313
5730,Orthodox,Secular,Never married,Less than high school credential,Bisexual,"$40,000-44,999",,Female,White,,Slightly liberal,34,3.04557333029515
5731,Muslim,Traditional,Never married,"Some post-high school, no bachelor’s degree",Heterosexual or straight,"Under $9,999",Joe Biden,Female,Black,Joe Biden,,70,0.32705044908866
5732,Catholic,Progressive,Never married,Bachelor’s degree,Heterosexual or straight,"$30,000-34,999",Jo Jorgensen,Female,White,,Slightly liberal,26,0.23262761922532
5733,,,,Graduate degree,,,,Male,,,Moderate; middle of the road,-9,1.22762040528189
